doc_id,filename,file_type,subject,source,page_count,language,permission,notes,
doc_0001,(done) SIC_AI_Chapter 3. Exploratory Data Analysis_v2.0.pptx,pptx,Data Analysis,SIC AI Course,520,en,team_internal,Slide presentation with visuals and diagrams,
doc_0002,(done) SIC_AI_Chapter 4. Probability and Statistics_v1.0.pptx,pptx,Probability & Statistics,SIC AI Course,195,en,team_internal,Slide presentation with visuals and diagrams,
doc_0003,(done) SIC_AI_Chapter 5. Machine Learning 1_v2.1 (1) (1).pptx,pptx,Machine Learning,SIC AI Course,430,en,team_internal,Slide presentation with visuals and diagrams,
doc_0004,AIO-Exam-Quiz-Book_v042026.pdf,pdf,AI & Machine Learning,AIO Vietnam,1003,mixed,team_internal,Comprehensive exercises and quizzes,
doc_0005,AIO_Exercise_Book_v2025.pdf,pdf,AI & Machine Learning,AIO Vietnam,2028,mixed,team_internal,Comprehensive exercises and quizzes,
doc_0006,Banking Operation Analyst - Risk Analyst (1).pdf,pdf,Finance & Banking,Finance & Trading Course/Book,95,mixed,team_internal,"Financial tables, terms, and market concepts",
doc_0007,CMSA Role-Based Learning Paths.pdf,pdf,General AI & Computing,Course Material,3,en,team_internal,Standard layout,
doc_0008,Corporate Finance Fundamentals - Course Presentation.pdf,pdf,Finance & Banking,Finance & Trading Course/Book,83,en,team_internal,"Financial tables, terms, and market concepts",
doc_0009,"Data Structures and Algorithms in Java, 6th Edition.pdf",pdf,Computer Science & Databases,CS Textbook,738,en,team_internal,Code snippets and database schemas,
doc_0010,Giải bài tập xác suất thống kê MI2020 full.pdf,pdf,Probability & Statistics,ĐH Bách Khoa Hà Nội,143,mixed,team_internal,Math formulas and problem solutions,
doc_0011,Introduction to Capital Markets - Course Presentation.pdf,pdf,Finance & Banking,Finance & Trading Course/Book,57,en,team_internal,"Financial tables, terms, and market concepts",
doc_0012,Jack Schwager. Stock Market Wizards.pdf,scan_pdf,Finance & Banking,Finance & Trading Course/Book,347,en,team_internal,"Financial tables, terms, and market concepts",Cần OCR
doc_0013,Lecture_10_Retrieval_and_RAG.docx,docx,NLP & LLMs,NLP & LLM Course,30,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0014,Lecture_11_Quantization_Prunning_and_Distillation.docx,docx,NLP & LLMs,NLP & LLM Course,24,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0015,Lecture_12_Reinforcement_Learning_from_Human_Feedback.docx,docx,NLP & LLMs,NLP & LLM Course,27,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0016,Lecture_13_Debugging_and_Interpretation.docx,docx,NLP & LLMs,NLP & LLM Course,27,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0017,Lecture_14_Ensembling_and_Mixture_of_Experts.docx,docx,NLP & LLMs,NLP & LLM Course,20,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0018,Lecture_15_Tour_of_Modern_LLMs.docx,docx,NLP & LLMs,NLP & LLM Course,23,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0019,Lecture_17_Code_Generation.docx,docx,NLP & LLMs,NLP & LLM Course,24,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0020,Lecture_18_Knowledge_and_Language_Models.docx,docx,NLP & LLMs,NLP & LLM Course,28,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0021,Lecture_1_intro_to_NLP.docx,docx,NLP & LLMs,NLP & LLM Course,17,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0022,Lecture_20_Language_Agents.docx,docx,NLP & LLMs,NLP & LLM Course,30,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0023,Lecture_21_Complex_Reasoning.docx,docx,NLP & LLMs,NLP & LLM Course,18,vi,team_internal,Detailed text lecture notes and code walkthrough,
doc_0024,Lecture_23_Multilingual_NLP.docx,docx,NLP & LLMs,NLP & LLM Course,25,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0025,Lecture_2_Word_Representation_and_Text_Classifiers.docx,docx,NLP & LLMs,NLP & LLM Course,29,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0026,Lecture_3_Language_Modeling.docx,docx,NLP & LLMs,NLP & LLM Course,20,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0027,Lecture_4_Sequence_Modeling.docx,docx,NLP & LLMs,NLP & LLM Course,27,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0028,Lecture_5_Transformers.docx,docx,NLP & LLMs,NLP & LLM Course,23,vi,team_internal,Detailed text lecture notes and code walkthrough,
doc_0029,Lecture_6_Generation_Algorithms.docx,docx,NLP & LLMs,NLP & LLM Course,29,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0030,Lecture_7_Prompting.docx,docx,NLP & LLMs,NLP & LLM Course,24,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0031,Lecture_8_Fine_tuning_and_Instruction_tuning.docx,docx,NLP & LLMs,NLP & LLM Course,25,mixed,team_internal,Detailed text lecture notes and code walkthrough,
doc_0032,Machine Learning_ Model Validation & Fine Tuning.pdf,pdf,General AI & Computing,Course Material,18,mixed,team_internal,Standard layout,
doc_0033,Maths-Discrete Mathematics & its Applications 8th Ed.pdf,pdf,Mathematics for Computing,Academic Textbook,1118,en,team_internal,Heavy mathematical formulas and definitions,
